src,dst,time_s_2018,distance_km_2018,year,time_s_2025,distance_km_2025,delta_time_s,delta_distance_km,pct_time,pct_distance
3,24,1019,13.673,2018,899,14.816,-120,1.1430000000000007,-11.776251226692837,8.359540700650923
3,25,663,7.206,2018,512,7.087,-151,-0.11900000000000066,-22.77526395173454,-1.6514016097696453
3,26,919,11.625,2018,825,12.282,-94,0.657,-10.228509249183896,5.651612903225807
3,27,599,7.988,2018,529,7.789,-70,-0.19900000000000073,-11.686143572621036,-2.4912368552829336
3,28,680,7.566,2018,539,7.468,-141,-0.09799999999999986,-20.73529411764706,-1.295268305577582
3,29,780,9.28,2018,666,9.719,-114,0.43900000000000006,-14.615384615384617,4.730603448275863
3,30,547,5.928,2018,497,6.77,-50,0.8419999999999996,-9.140767824497258,14.203778677462884
3,31,549,6.916,2018,427,6.565,-122,-0.351,-22.22222222222222,-5.075187969924812
3,32,1013,13.871,2018,911,14.555,-102,0.6839999999999993,-10.069101678183614,4.931151322903895
3,33,351,3.666,2018,274,3.584,-77,-0.08199999999999985,-21.937321937321936,-2.2367703218767008
3,34,482,5.015,2018,409,4.738,-73,-0.27699999999999925,-15.145228215767634,-5.523429710867383
3,35,461,5.03,2018,344,4.919,-117,-0.11100000000000065,-25.379609544468547,-2.206759443339973
3,36,460,6.218,2018,397,6.198,-63,-0.019999999999999574,-13.695652173913043,-0.3216468317787001
3,37,414,3.701,2018,429,5.81,15,2.1089999999999995,3.6231884057971016,56.98459875709266
3,38,881,11.564,2018,792,11.411,-89,-0.15300000000000047,-10.102156640181612,-1.3230716015219688
3,39,427,5.577,2018,357,5.563,-70,-0.014000000000000234,-16.39344262295082,-0.2510310202617937
3,40,489,6.276,2018,445,6.899,-44,0.6230000000000002,-8.997955010224949,9.926704907584453
3,41,619,7.202,2018,582,8.102,-37,0.9000000000000004,-5.977382875605816,12.496528742016112
3,42,883,11.155,2018,852,12.502,-31,1.3470000000000013,-3.5107587768969424,12.075302554908125
3,43,529,5.128,2018,417,5.056,-112,-0.07200000000000006,-21.17202268431002,-1.404056162246491
3,44,710,9.628,2018,563,8.208,-147,-1.42,-20.704225352112676,-14.748649771499792
3,45,689,7.488,2018,564,7.417,-125,-0.07100000000000062,-18.142235123367197,-0.948183760683769
3,46,602,6.616,2018,453,6.501,-149,-0.11499999999999932,-24.750830564784053,-1.7382103990326379
3,47,788,9.918,2018,756,11.392,-32,1.4740000000000002,-4.060913705583756,14.86186731195806
3,48,646,8.667,2018,599,8.786,-47,0.11899999999999977,-7.275541795665634,1.3730241144571336
3,49,912,12.575,2018,810,13.253,-102,0.6780000000000008,-11.18421052631579,5.391650099403585
3,50,268,2.76,2018,225,2.492,-43,-0.2679999999999998,-16.044776119402986,-9.710144927536225
4,1,215,2.317,2018,192,2.315,-23,-0.002000000000000224,-10.69767441860465,-0.08631851532154612
4,2,906,11.605,2018,807,10.989,-99,-0.6159999999999997,-10.927152317880795,-5.308056872037911
4,3,418,4.868,2018,347,4.237,-71,-0.6310000000000002,-16.985645933014354,-12.962202136400991
4,4,0,0.0,2018,0,0.0,0,0.0,,
4,5,780,9.859,2018,618,7.861,-162,-1.9980000000000002,-20.76923076923077,-20.265747033167667
4,6,413,4.037,2018,365,3.884,-48,-0.15300000000000002,-11.62227602905569,-3.7899430270002483
4,7,619,7.511,2018,615,8.207,-4,0.6960000000000006,-0.6462035541195477,9.266409266409275
4,8,633,8.199,2018,615,8.675,-18,0.47600000000000087,-2.843601895734597,5.805586047078923
4,9,257,2.826,2018,252,2.902,-5,0.07600000000000007,-1.9455252918287937,2.6893135173389973
4,10,902,13.068,2018,845,12.962,-57,-0.10599999999999987,-6.319290465631928,-0.8111417202326283
4,11,163,1.56,2018,140,1.573,-23,0.0129999999999999,-14.11042944785276,0.8333333333333269
4,12,532,6.576,2018,545,6.623,13,0.0470000000000006,2.443609022556391,0.714720194647211
4,13,408,4.129,2018,362,4.007,-46,-0.12199999999999989,-11.27450980392157,-2.9547105836764325
4,14,913,13.052,2018,861,12.945,-52,-0.10699999999999932,-5.695509309967141,-0.8197977321483245
4,15,625,7.592,2018,589,8.108,-36,0.5160000000000009,-5.76,6.796628029504754
4,16,1001,12.758,2018,847,11.762,-154,-0.9959999999999987,-15.384615384615385,-7.806866279981178
4,17,689,8.875,2018,713,9.239,24,0.36400000000000077,3.483309143686502,4.101408450704234
4,18,262,2.622,2018,369,3.167,107,0.5449999999999999,40.839694656488554,20.785659801678104
4,19,309,3.611,2018,319,4.109,10,0.4979999999999998,3.2362459546925564,13.791193575186922
4,20,400,3.972,2018,346,3.754,-54,-0.21799999999999997,-13.5,-5.488418932527693
4,21,409,4.392,2018,359,4.212,-50,-0.1800000000000006,-12.224938875305623,-4.098360655737719
4,22,445,5.616,2018,434,5.618,-11,0.002000000000000668,-2.4719101123595504,0.035612535612547506
4,23,218,2.394,2018,227,2.89,9,0.496,4.128440366972478,20.71846282372598
4,24,1001,14.531,2018,920,14.932,-81,0.4009999999999998,-8.091908091908092,2.7596173697611985
4,25,695,8.986,2018,664,8.998,-31,0.011999999999998678,-4.460431654676259,0.1335410638771275
4,26,809,10.532,2018,728,9.86,-81,-0.6720000000000006,-10.012360939431398,-6.380554500569698
4,27,393,4.826,2018,414,5.313,21,0.4870000000000001,5.343511450381679,10.091172813924578
4,28,705,9.346,2018,685,9.379,-20,0.032999999999999474,-2.8368794326241136,0.353092231970891
4,29,761,10.138,2018,686,9.835,-75,-0.30299999999999905,-9.85545335085414,-2.988755178536191
4,30,333,2.331,2018,263,2.357,-70,0.026000000000000245,-21.02102102102102,1.1154011154011259
4,31,305,3.594,2018,313,4.09,8,0.496,2.622950819672131,13.800779076238175
4,32,994,14.729,2018,931,14.671,-63,-0.05799999999999983,-6.338028169014084,-0.393780976305247
4,33,489,6.091,2018,516,6.835,27,0.7439999999999998,5.521472392638037,12.21474306353636
4,34,463,5.873,2018,453,5.885,-10,0.011999999999999567,-2.159827213822894,0.20432487655371304
4,35,685,9.362,2018,586,8.17,-99,-1.1920000000000002,-14.452554744525548,-12.732322153386031
4,36,279,3.226,2018,282,3.723,3,0.4969999999999999,1.0752688172043012,15.40607563546187
4,37,396,4.05,2018,379,4.375,-17,0.3250000000000002,-4.292929292929292,8.024691358024697
4,38,863,12.422,2018,813,11.527,-50,-0.8950000000000014,-5.793742757821553,-7.20495894380938
4,39,246,2.585,2018,243,3.088,-3,0.5030000000000001,-1.2195121951219512,19.458413926499038
4,40,612,8.604,2018,605,8.615,-7,0.011000000000001009,-1.1437908496732025,0.127847512784763
4,41,396,3.475,2018,332,3.328,-64,-0.14700000000000024,-16.161616161616163,-4.230215827338137
4,42,774,10.063,2018,701,9.452,-73,-0.6110000000000007,-9.431524547803617,-6.071747987677637
4,43,610,6.967,2018,564,7.024,-46,0.057000000000000384,-7.540983606557377,0.8181426725994028
4,44,433,5.238,2018,448,5.732,15,0.4939999999999998,3.4642032332563506,9.431080565101178
4,45,713,9.268,2018,710,9.328,-3,0.05999999999999872,-0.42075736325385693,0.6473888649115096
4,46,607,7.827,2018,580,7.836,-27,0.009000000000000341,-4.448105436573312,0.11498658489843287
4,47,679,8.825,2018,685,9.138,6,0.3130000000000006,0.8836524300441826,3.5467422096317356
4,48,496,5.839,2018,484,6.311,-12,0.47199999999999953,-2.4193548387096775,8.08357595478677
4,49,893,13.433,2018,831,13.369,-62,-0.06400000000000006,-6.9428891377379625,-0.47643862130574005
4,50,443,5.267,2018,467,5.743,24,0.476,5.417607223476298,9.037402696031895
5,1,499,6.827,2018,325,4.34,-174,-2.487,-34.86973947895792,-36.42888530833456
5,2,474,5.444,2018,548,7.398,74,1.9539999999999997,15.611814345991561,35.89272593681117
5,3,780,10.348,2018,546,7.706,-234,-2.6420000000000003,-30.0,-25.53150367220719
